target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,nearest_train,100,0,0.02125171239633186,0.7369747835733376,0.7166666666666667,0.7166666666666667,0.6385542168674698,0.8674698795180723,0.04957921430468559,0.1861082690956693,,,,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,search_ceiling,0,20000,0.024699567146924447,0.7945117685847036,0.75,0.75,0.7108433734939759,0.8674698795180723,0.051246124554185715,0.1861082690956693,,,,0.6626506024096386,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,random,1,1,0.08075937651606808,1.2075478270089446,0.5043333333333334,0.5593333333333332,0.526265060240964,0.8313253012048188,0.01794716817788306,0.21214030599322786,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,random,10,10,0.058604205680551566,1.035088940099809,0.5549999999999999,0.5616666666666668,0.5313253012048192,0.8313253012048193,0.014940897255721541,0.21214030599322792,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,random,100,100,0.04960193889812121,0.9531929407426822,0.6,0.6,0.46987951807228917,0.8313253012048193,3.664603343001005e-17,0.2121403059932279,,,,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T1.0,1,1,0.0705318430707226,1.127140953031162,0.5323333333333333,0.5663333333333332,0.5734939759036145,0.8313253012048188,0.048174265748545816,0.21214030599322786,1.0,7.76,0.94,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T1.0,10,10,0.05383281842116157,0.992464805961275,0.5983333333333334,0.5983333333333334,0.6204819277108433,0.8313253012048193,0.05324497139164165,0.21214030599322792,1.0,7.76,0.94,,,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator_T1.0,100,100,0.0475588129122528,0.9333552910820048,0.6333333333333333,0.6333333333333333,0.6385542168674698,0.8313253012048193,0.04201721160004927,0.2121403059932279,1.0,7.76,0.94,0.5512048192771084,0.7228915662650602,,
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator+filter_T1.0,1,1,0.06182645212972017,1.0610932734473264,0.5564999999999999,0.5688333333333333,0.5774698795180724,0.8313253012048188,0.05192220885963159,0.21214030599322786,1.0,,,,,1000.0,-0.2126752785247791
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,generator+filter_T1.0,10,10,0.05124969840342295,0.9686427134359914,0.5933333333333333,0.5933333333333333,0.6,0.8313253012048193,0.053504539047283105,0.21214030599322792,1.0,,,,,1000.0,-0.2126752785247791
