target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,seq_len,budget,evaluations_at_best,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,ratio_1000shots,two_qubit,non_clifford,random_D_c_mean,random_D_c_min,random_A_x_mean,D_c_at_1000,D_c_at_5000,seconds
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,24,20000,16410,0.024699567146924447,0.7945117685847036,0.75,0.75,0.7108433734939759,0.8674698795180723,0.051246124554185715,0.1861082690956693,0.6626506024096386,10,19,0.071490686302465,0.036903312586592026,0.49933333333333335,0.027571510958496522,0.025663729779414574,39.593078400001104
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,24,20000,10310,0.007873762666935966,0.37977174563797267,0.9833333333333333,0.9833333333333333,0.7951807228915663,0.8313253012048193,0.1732604486955195,0.2121403059932279,0.7813253012048192,10,16,0.08432639395542589,0.04982413753827655,0.5006666666666666,0.032621307496711494,0.019811769483973955,42.26629939999839
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,24,20000,19310,0.016508759143389673,0.5252899387974688,0.8333333333333334,0.8333333333333334,0.6626506024096386,0.8313253012048193,0.1515860546892207,0.19462156139847797,0.7078313253012049,10,16,0.08904488830541651,0.05391189745773297,0.5006666666666666,0.039448980517478915,0.026773110574052867,40.8285950999998
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,24,20000,19960,0.020571728070571026,0.5940374692818772,0.85,0.85,0.6746987951807228,0.8313253012048193,0.13117358190636524,0.19334668221545823,0.6746987951807228,10,19,0.08760652606800103,0.052889361694215535,0.5006666666666666,0.03839408408810889,0.028356516353800088,40.52766079999856
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,4,24,20000,19360,0.029355175816524703,0.7154647598009098,0.8333333333333334,0.8333333333333334,0.6867469879518072,0.9518072289156626,0.0690334456602601,0.22403917148697883,0.6716867469879518,10,19,0.09107105379410083,0.05159495237604512,0.502,0.035887023994294054,0.029770284350048384,39.76023459999851
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,4,24,20000,11810,0.023956005631165355,0.6939652148453295,0.8166666666666667,0.8166666666666667,0.6385542168674698,0.891566265060241,0.11441285132940496,0.21860284609406294,0.6493975903614457,10,20,0.08341389634081878,0.04487557993350412,0.5038333333333334,0.03435739153692696,0.02540074640050902,39.346832299997914
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,4,24,20000,17760,0.041171029567077744,0.8876457357320622,0.7,0.7,0.6144578313253012,0.9518072289156626,0.0423654454439821,0.2239180300176315,0.5831325301204819,10,18,0.08586320273946864,0.046873665093664654,0.502,0.043492168066731576,0.04234904744975614,41.62025920000087
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,4,24,20000,11760,0.02923592057378319,0.6966662788694805,0.8333333333333334,0.8333333333333334,0.7349397590361446,0.927710843373494,0.10967423390782449,0.23584075955139858,0.7409638554216867,10,17,0.0937804020954934,0.05330331169104025,0.4953333333333333,0.037700547791007344,0.03533679702292861,42.98383359999934
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,4,24,20000,8560,0.029995405334060216,0.6752250027480902,0.8666666666666667,0.8666666666666667,0.6987951807228916,0.8674698795180723,0.08682311394041248,0.2425291035804361,0.7000000000000001,10,20,0.09734937829186498,0.05203682265574416,0.5003333333333333,0.03863621839663662,0.03029974138314985,44.0112423999999
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500,4,24,20000,17160,0.03666950135288927,0.7700844096947823,0.7666666666666667,0.7666666666666667,0.7349397590361446,0.9759036144578314,0.04879072849519844,0.23393075497182825,0.6542168674698795,10,21,0.09463692357033134,0.05287086571751872,0.5013333333333334,0.04412990743156997,0.03847750810051936,45.67962239999906
T8_s4_final,8,4,final,False,3457,78.0,-52.38811036600706,1500,4,24,20000,8760,0.04412733046676393,0.853784766497117,0.7333333333333333,0.7333333333333333,0.6024096385542169,0.9397590361445783,0.03469719938171866,0.23755894236977732,0.608433734939759,10,17,0.09188623554235044,0.05039670660938537,0.5068333333333334,0.04926537698217465,0.04494966433819518,40.06011600000056
T8_s5_final,8,5,final,False,3721,82.0,-58.74879440787134,1315,4,24,20000,19410,0.03360920919746837,0.726865985762923,0.8,0.8,0.6987951807228916,0.9879518072289156,0.09625458050732208,0.2527900871332837,0.6975903614457831,10,15,0.09546298627259471,0.056433218409849266,0.499,0.045386255492000566,0.038227912809135504,38.04473320000034
T8_s6_final,8,6,final,False,4022,82.0,-57.04230942581566,1500,4,24,20000,10210,0.028961018165030637,0.7072210768990952,0.85,0.85,0.8313253012048193,0.9879518072289156,0.10968432182251941,0.22756330824415563,0.8018072289156626,10,18,0.09104833514660989,0.05449918011251943,0.4975,0.04443176484903394,0.03587459499226545,38.013495899998816
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,4,24,20000,5310,0.03845989801775831,0.7889602342324277,0.7166666666666667,0.7166666666666667,0.6265060240963856,0.8795180722891566,0.061725433379874975,0.2398042697687081,0.6168674698795181,10,21,0.09502367494847284,0.05762541213323977,0.5009999999999999,0.042516419400547026,0.03853363027752332,42.75110770000174
T8_s8_final,8,8,final,True,4624,78.0,-49.27619636986244,1500,4,24,20000,17560,0.02940866111934681,0.7429797067626068,0.7833333333333333,0.7833333333333333,0.6626506024096386,0.9397590361445783,0.0783473469708603,0.21713757020705818,0.708433734939759,10,21,0.08544119036474564,0.04769104997558859,0.4978333333333333,0.037060300286731296,0.031842042190812624,45.79287200000181
T8_s9_final,8,9,final,True,4925,76.0,-46.40126823483637,1500,4,24,20000,15160,0.028911512604327547,0.7495258316739738,0.8,0.8,0.6987951807228916,0.9156626506024096,0.08777385170284707,0.22798176828414007,0.6746987951807228,10,20,0.08408586814503716,0.04633785702678351,0.504,0.03721158731475531,0.03384220798818752,43.34412689999954
T8_s9_q25,8,9,q25,True,4700,76.0,-43.02120271580272,375,4,24,20000,10660,0.02273398377539452,0.688150326794037,0.8166666666666667,0.8166666666666667,0.7108433734939759,0.9156626506024096,0.08744224700227757,0.20244843725912437,0.7048192771084337,10,18,0.08065969845976736,0.044917594357378854,0.504,0.0364228103496287,0.02945297556666447,43.962521800000104
T8_s9_q50,8,9,q50,True,4775,76.0,-45.58770120603343,750,4,24,20000,12410,0.03149016061938158,0.7784931824483792,0.7666666666666667,0.7666666666666667,0.6987951807228916,0.9156626506024096,0.07646208454851716,0.22536938992758793,0.71144578313253,10,19,0.08466905816438355,0.047047954681709116,0.504,0.039863881584564456,0.034910453769260226,44.587111699998786
