target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,D_c_search,D_c_refined,D_c_snapped,A_x_refined,ratio_refined,A_x_snapped,ratio_snapped,mean_abs_angle_move,seconds
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,8,0.012994805590146735,0.007177067065462829,0.017024250097124,0.95,0.7831325301204819,0.8833333333333333,0.7349397590361446,0.45312364550297657,9.236709400000109
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,8,0.009384436510780936,0.004135453726284758,0.0150431549866071,0.9666666666666667,0.8313253012048193,0.85,0.7228915662650602,0.3492936916362559,10.896343700002035
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,8,0.011981474123541735,0.0032087089570626464,0.020925252535436298,0.9666666666666667,0.8313253012048193,0.8,0.6385542168674698,0.4309136943317868,11.378466599999228
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,8,0.013440634816693728,0.0007793372636256423,0.03974691300138708,0.9833333333333333,0.7951807228915663,0.7,0.5903614457831325,0.43801085604227863,9.37929449999865
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,8,0.024310835983675855,0.008165949164255493,0.034287227224226974,0.9833333333333333,0.9156626506024096,0.7666666666666667,0.6385542168674698,0.6510028032018237,9.73569739999948
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,8,0.018165912771123945,0.006093673266874069,0.014755168280178964,1.0,0.891566265060241,0.9333333333333333,0.7951807228915663,0.4364290224108389,10.168074699999124
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,8,0.019184262366159298,0.008043088755747425,0.022515586125593554,0.9666666666666667,0.927710843373494,0.85,0.7951807228915663,0.6620920491299657,9.508694000000105
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,8,0.023800531313357458,0.008778236812445307,0.02377283442468348,0.9833333333333333,0.9156626506024096,0.8833333333333333,0.7710843373493976,0.3687963142087331,9.48635540000032
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,8,0.0262380740734777,0.01237816818788045,0.044730113465908224,0.9833333333333333,0.8554216867469879,0.7666666666666667,0.6024096385542169,0.4522541933844553,9.539949199999683
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500,8,0.023289805017862417,0.012013300405882112,0.05509170412245117,0.9666666666666667,0.927710843373494,0.7,0.6626506024096386,0.3967440199571528,9.400281399997766
T8_s4_final,8,4,final,False,3457,78.0,-52.38811036600706,1500,8,0.02801909985634994,0.012894818026070036,0.058943896217001496,0.95,0.927710843373494,0.55,0.5903614457831325,0.6487421843241457,9.79095370000141
T8_s5_final,8,5,final,False,3721,82.0,-58.74879440787134,1315,8,0.02519038111733617,0.00933763992067771,0.04606987019882094,0.95,0.9036144578313253,0.7166666666666667,0.6144578313253012,0.621371396517374,9.712222800000745
T8_s6_final,8,6,final,False,4022,82.0,-57.04230942581566,1500,8,0.03192307658190229,0.014427734913152718,0.038874800024535125,0.9833333333333333,0.9759036144578314,0.7666666666666667,0.7228915662650602,0.6793438560648294,10.46998750000057
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,8,0.030432338236389626,0.007880007151071067,0.062092861298488,0.9833333333333333,0.8674698795180723,0.6166666666666667,0.4578313253012048,0.7935912070959689,10.621610400001373
T8_s8_final,8,8,final,True,4624,78.0,-49.27619636986244,1500,8,0.022524185527764775,0.011241493682955768,0.03972029140617263,0.95,0.8554216867469879,0.7,0.5783132530120482,0.4664723882817565,10.03497090000019
T8_s9_final,8,9,final,True,4925,76.0,-46.40126823483637,1500,8,0.022932831220159253,0.013942286191435959,0.04310532718631774,0.95,0.8554216867469879,0.6833333333333333,0.6144578313253012,0.42497804078020424,10.308877399998892
T8_s9_q25,8,9,q25,True,4700,76.0,-43.02120271580272,375,8,0.013589861328465309,0.004309936127100378,0.0475705184844925,0.9833333333333333,0.9036144578313253,0.6,0.4819277108433735,0.5821667021517294,9.859426700000768
T8_s9_q50,8,9,q50,True,4775,76.0,-45.58770120603343,750,8,0.017720441105948784,0.004231068843664075,0.06388426583265706,0.9833333333333333,0.9036144578313253,0.5,0.40963855421686746,0.6312815362456093,9.303850199998124
