target,holdout,teacher_layers,discrete_layers,target_ratio,D_c_search,D_c_refined,D_c_pool_grid,D_c_M8,A_x_M8,ratio_M8,D_c_M16,A_x_M16,ratio_M16,D_c_M32,A_x_M32,ratio_M32,D_c_M64,A_x_M64,ratio_M64
T8_s6_final,False,8,8,0.9879518072289156,0.03192307658190229,0.014427734913152718,0.038874800024535125,0.024581821054973706,0.8833333333333333,0.8795180722891566,0.020407738070958435,0.9,0.8433734939759037,0.016280388466796924,0.9666666666666667,0.9397590361445783,0.015107679415387147,0.9833333333333333,0.9759036144578314
T8_s7_final,True,8,8,0.8795180722891566,0.030432338236389626,0.007880007151071067,0.062092861298488,0.047345954468483324,0.75,0.6746987951807228,0.01933503096489412,0.9166666666666666,0.7710843373493976,0.012130427401042617,0.9,0.7831325301204819,0.008586822291138657,0.9833333333333333,0.8674698795180723
T8_s8_final,True,8,8,0.9397590361445783,0.022524185527764775,0.011241493682955768,0.03972029140617263,0.038976049817459196,0.8166666666666667,0.6867469879518072,0.02285870879774068,0.9,0.8192771084337349,0.013124306458380083,0.9333333333333333,0.8433734939759037,0.011758417677425751,0.9166666666666666,0.8072289156626506
T8_s9_final,True,8,8,0.9156626506024096,0.022932831220159253,0.013942286191435959,0.04310532718631774,0.03211798412317075,0.7166666666666667,0.6144578313253012,0.0206248161990847,0.8333333333333334,0.6506024096385542,0.016638688064943584,0.9333333333333333,0.8433734939759037,0.014575747504803215,0.95,0.8554216867469879
T8_s9_q25,True,8,8,0.9156626506024096,0.013589861328465309,0.004309936127100378,0.0475705184844925,0.03738140737687059,0.6833333333333333,0.5662650602409639,0.010512137316720885,0.9833333333333333,0.8795180722891566,0.007010333013344405,0.9666666666666667,0.891566265060241,0.004560293176326965,1.0,0.9156626506024096
T8_s9_q50,True,8,8,0.9156626506024096,0.017720441105948784,0.004231068843664075,0.06388426583265706,0.034431969043543335,0.8333333333333334,0.7951807228915663,0.009616485487318189,0.95,0.8554216867469879,0.005819572334294966,0.95,0.8795180722891566,0.0046127495078996895,1.0,0.9156626506024096
T4_s0_final,False,4,4,0.8433734939759037,0.020582042678442884,0.016729970221014023,0.02791018914104189,0.027226308482435183,0.9166666666666666,0.7108433734939759,0.019516076892947678,0.9,0.6987951807228916,0.0172033285173709,0.8833333333333333,0.6867469879518072,0.017006778531094797,0.8833333333333333,0.6867469879518072
T4_s0_q25,False,4,4,0.8433734939759037,0.019405322680238254,0.014685918515664372,0.03103656998977241,0.022872030161556214,0.8833333333333333,0.7108433734939759,0.02059685316441682,0.9333333333333333,0.7951807228915663,0.015953972446095487,0.95,0.8072289156626506,0.015056690921117622,0.9333333333333333,0.7951807228915663
T4_s0_q50,False,4,4,0.8433734939759037,0.018798518467515114,0.016060121265419582,0.019893812671049373,0.027507989885011207,0.8666666666666667,0.7228915662650602,0.020437809937150043,0.8833333333333333,0.6867469879518072,0.01706217814236334,0.8333333333333334,0.6987951807228916,0.016259355666836124,0.9,0.6987951807228916
T4_s1_final,False,4,4,0.8433734939759037,0.03251956791832442,0.017238056055029632,0.04968780665225505,0.029988193714356137,0.8333333333333334,0.7469879518072289,0.01940053019508366,0.8,0.6506024096385542,0.01837621156522545,0.85,0.6867469879518072,0.01751395157556473,0.8333333333333334,0.6987951807228916
