target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,D_c_search,D_c_refined,D_c_snapped,A_x_refined,ratio_refined,A_x_snapped,ratio_snapped,mean_abs_angle_move,seconds
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,0.024699567205275004,0.011315274492355955,0.02851162559004563,0.8666666666666667,0.7469879518072289,0.6166666666666667,0.5662650602409639,0.7522209673386864,5.452633400000195
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,0.007873762517642251,0.0030743750346601735,0.020656275310402848,0.9833333333333333,0.7951807228915663,0.8666666666666667,0.6867469879518072,0.43901278265086807,5.378444700003456
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,0.016508759262619657,0.0080493363825676,0.035906264401151945,0.95,0.7228915662650602,0.7833333333333333,0.6746987951807228,0.3315964923059614,5.2911467000012635
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,0.02057172795864254,0.007028849003590557,0.06752469761555234,0.95,0.7469879518072289,0.5666666666666667,0.5180722891566265,0.53456396138811,5.970972700000857
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,4,0.02935517583473337,0.019991935242164204,0.03796208439176939,0.8666666666666667,0.7590361445783133,0.7666666666666667,0.5903614457831325,0.5283983595326583,5.900214199999027
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,4,0.02395600568551683,0.01421995587641341,0.0464124885728793,0.9166666666666666,0.7590361445783133,0.5833333333333334,0.4939759036144578,0.5321330437760929,5.285744700002397
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,4,0.04117102963002039,0.016070982068655863,0.053082662815011554,0.85,0.7469879518072289,0.65,0.5060240963855421,0.7296055784144461,5.340350200000103
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,4,0.029235920396018914,0.020916266710813414,0.08689209506074737,0.8833333333333333,0.8192771084337349,0.4166666666666667,0.5060240963855421,0.6647309745271621,5.288269900000159
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,4,0.02999540551397356,0.02713720511236097,0.03772669106975595,0.8666666666666667,0.7228915662650602,0.8,0.6506024096385542,0.23422134911254225,5.261941699998715
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500,4,0.03666950151737981,0.02725661814597496,0.05743283717218044,0.85,0.7228915662650602,0.4666666666666667,0.5421686746987951,0.8044461193327459,5.5218356999976095
