family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
er4,er4_m60_s0,es_transfer_dc,0,170,8510,1.296128243246634,90.0,90.0,0.0856040414165227,0.009946540056647302,20,34,0.006463582161813974,277.6661187999998,0.9090909090909091,0.9090909090909091
er4,er4_m60_s0,es_transfer_dc,0,175,8760,1.3067019837902154,91.0,90.1,0.07709269290649601,0.0015355078557669176,20,35,0.006769509520381689,287.40984460001346,0.9191919191919192,0.9101010101010101
er4,er4_m60_s0,es_transfer_dc,0,180,9010,1.3070016054716098,91.0,91.0,0.08400929523166725,0.0030492315250908106,20,35,0.006002710200846195,297.2073962999857,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,185,9260,1.3070016054716098,91.0,91.0,0.08400929523166725,0.0030492315250908106,20,35,0.009535778313875198,302.86396230000537,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,190,9510,1.3077200273062484,91.0,91.0,0.08123460421540335,0.001021469414693641,20,35,0.0071280403062701225,312.4406653000042,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,195,9760,1.3077200273062484,91.0,91.0,0.08123460421540335,0.001021469414693641,20,35,0.006898101419210434,322.05700139998225,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,200,10010,1.3077200273062484,91.0,91.0,0.08123460421540335,0.001021469414693641,20,35,0.006838844157755375,327.587828800024,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,205,10260,1.3096092921671885,91.0,91.0,0.08076211081398874,0.0010214694146936133,20,35,0.005639490205794573,337.35272590001114,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,210,10510,1.3096092921671885,91.0,91.0,0.08076211081398874,0.0010214694146936133,20,35,0.0065978760831058025,347.05536160001066,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,215,10760,1.3096092921671885,91.0,91.0,0.08076211081398874,0.0010214694146936133,20,35,0.00849222019314766,352.5559979000245,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,220,11010,1.3096092921671885,91.0,91.0,0.08076211081398874,0.0010214694146936133,20,35,0.006713776383548975,362.007212800032,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,225,11260,1.3096092921671885,91.0,91.0,0.08076211081398872,0.0010214694146937538,20,35,0.008119405247271061,371.589338699996,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,230,11510,1.3096092921671885,91.0,91.0,0.08076211081398872,0.0010214694146937538,20,35,0.0059839352034032345,377.05513679998694,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,235,11760,1.3096092921671885,91.0,91.0,0.08076211081398871,0.0010214694146936862,20,35,0.00921432301402092,386.55325140000787,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,240,12010,1.3096092921671885,91.0,91.0,0.08076211081398879,0.0010214694146933809,20,35,0.006409228779375553,396.0049497000291,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,245,12260,1.3108645245727968,91.0,91.0,0.07621220367773994,0.002703933618247084,20,35,0.006904594134539366,401.4455741000129,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,250,12510,1.3108645245727968,91.0,91.0,0.07621220367773994,0.002703933618247084,20,35,0.007546986453235149,410.9663099999889,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,255,12760,1.3108645245727968,91.0,91.0,0.07621220367773994,0.002703933618247084,20,35,0.005972272716462612,420.23449030000484,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,260,13010,1.3108645245727968,91.0,91.0,0.07621220367773984,0.0027039336182470564,20,36,0.005321149714291096,425.63930099998834,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,265,13260,1.3108645245727968,91.0,91.0,0.07621220367773979,0.0027039336182470286,20,35,0.006638745777308941,435.07974469999317,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,270,13510,1.3108645245727968,91.0,91.0,0.07621220367773979,0.0027039336182470286,20,35,0.0061905598267912865,444.58099210000364,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,275,13760,1.3108645245727968,91.0,91.0,0.07621220367773997,0.0027039336182471813,20,35,0.0059880162589251995,450.24944650003454,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,280,14010,1.3108645245727968,91.0,91.0,0.07621220367773994,0.002703933618247084,20,35,0.005447867792099714,460.15512389998185,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,285,14260,1.3108645245727968,91.0,91.0,0.07621220367773997,0.0027039336182471813,20,35,0.005483353976160288,469.943265400012,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,290,14510,1.3122244811692636,91.0,91.0,0.08195899191068169,0.0006910528463247301,20,36,0.00593146588653326,475.36098440003116,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,295,14760,1.3141127159616004,91.0,91.0,0.08297407030618607,0.0015763242297147512,20,35,0.00596256460994482,485.0863201000029,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,300,15010,1.3141127159616004,91.0,91.0,0.08297407030618607,0.0015763242297147512,20,35,0.005396024789661169,494.4928776000161,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,305,15260,1.3141127159616004,91.0,91.0,0.08297407030618607,0.0015763242297147512,20,35,0.00609976751729846,499.8670284000109,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,310,15510,1.3141127159616004,91.0,91.0,0.08297407030618607,0.0015763242297147512,20,35,0.005802304483950138,509.2886291000177,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,315,15760,1.3145276645707205,91.0,91.0,0.07999911118099745,9.56026345837191e-06,20,35,0.005318132229149342,519.0844793000142,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,320,16010,1.3145276645707205,91.0,91.0,0.07999911118099745,9.56026345837191e-06,20,35,0.0044287750497460365,525.0356648000306,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,325,16260,1.3145276645707205,91.0,91.0,0.07999911118099735,9.560263458455176e-06,20,35,0.005796094890683889,534.7127660000115,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,330,16510,1.3145276645707205,91.0,91.0,0.07999911118099735,9.560263458455176e-06,20,35,0.006006473675370216,544.4580431000213,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,335,16760,1.3145276645707205,91.0,91.0,0.07999911118099744,9.560263458413543e-06,20,35,0.006453849375247955,549.8684308000375,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,340,17010,1.3145276645707205,91.0,91.0,0.07999911118099734,9.56026345830252e-06,20,36,0.0049909865483641624,559.4335284000263,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,345,17260,1.3145276645707205,91.0,91.0,0.07999911118099733,9.560263458441298e-06,20,36,0.005300670862197876,568.9860808000085,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,350,17510,1.3149011820996561,91.0,91.0,0.0757331735365343,0.00027496906959032646,20,34,0.0058601778000593185,574.4305779000279,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,355,17760,1.3156381578148515,91.0,91.0,0.08216054612836453,0.00498993453086621,20,33,0.005349432118237019,584.0415458999923,0.9191919191919192,0.9191919191919192
er4,er4_m60_s0,es_transfer_dc,0,360,18010,1.3156381578148515,91.0,91.0,0.08216054612836445,0.004989934530866241,20,32,0.0044314684346318245,593.8148157999967,0.9191919191919192,0.9191919191919192
