family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,reg3_m60_s2,es_1_2,1,95,4760,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,18.24251099996036,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,100,5010,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,19.100379399955273,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,105,5260,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,20.063369399984367,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,110,5510,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,20.951253000006545,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,115,5760,1.2109832915989471,67.0,67.0,0.09845184196980634,0.0008289424768606821,20,32,,21.85708709998289,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,120,6010,1.2109832915989471,67.0,67.0,0.09845184196980634,0.0008289424768606821,20,32,,22.667275199957658,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,125,6260,1.2109832915989471,67.0,67.0,0.09845184196980634,0.0008289424768606821,20,32,,23.539591899956577,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,130,6510,1.2109832915989471,67.0,67.0,0.09845184196980634,0.0008289424768606821,20,32,,24.4161591999582,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,135,6760,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,25.268997000006493,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,140,7010,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,26.112055199977476,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,145,7260,1.2109832915989471,67.0,67.0,0.09845184196980625,0.000828942476860689,20,34,,27.052563500008546,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,150,7510,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,27.918604100006633,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,155,7760,1.2109832915989471,67.0,67.0,0.09845184196980625,0.000828942476860689,20,34,,28.838700699969195,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,160,8010,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,29.74824190000072,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,165,8260,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,30.748550899967086,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,170,8510,1.2109832915989471,67.0,67.0,0.09845184196980632,0.0008289424768605641,20,32,,31.695303899992723,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,175,8760,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,32.5416847000015,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,180,9010,1.2109832915989471,67.0,67.0,0.09845184196980628,0.0008289424768606682,20,32,,33.402537199959625,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,185,9260,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,34.29291109996848,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,190,9510,1.2109832915989471,67.0,67.0,0.09845184196980625,0.000828942476860689,20,34,,35.0940169999958,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,195,9760,1.2109832915989471,67.0,67.0,0.09845184196980625,0.000828942476860689,20,34,,35.91523619997315,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,200,10010,1.2109832915989471,67.0,67.0,0.09845184196980644,0.0008289424768606612,20,33,,36.68718049995368,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,205,10260,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,37.47227969998494,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,210,10510,1.2109832915989471,67.0,67.0,0.0984518419698064,0.0008289424768607098,20,33,,38.38675099995453,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,215,10760,1.2109832915989471,67.0,67.0,0.09845184196980632,0.0008289424768605641,20,32,,39.21671750000678,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,220,11010,1.2109832915989471,67.0,67.0,0.0984518419698064,0.0008289424768607098,20,33,,40.09599609998986,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,225,11260,1.2109832915989471,67.0,67.0,0.09845184196980637,0.0008289424768607098,20,33,,41.041183799970895,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,230,11510,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,41.78990689996863,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,235,11760,1.2109832915989471,67.0,67.0,0.09845184196980628,0.0008289424768606682,20,32,,42.66802399995504,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,240,12010,1.2109832915989471,67.0,67.0,0.09845184196980625,0.0008289424768606612,20,33,,43.539766900008544,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,245,12260,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,44.42080279998481,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,250,12510,1.2109832915989471,67.0,67.0,0.0984518419698063,0.000828942476860689,20,33,,45.29262879997259,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,255,12760,1.2109832915989471,67.0,67.0,0.09845184196980626,0.0008289424768607306,20,33,,46.3318446999765,0.8271604938271605,0.8271604938271605
reg3,reg3_m60_s2,es_1_2,1,260,13010,1.2109832915989471,67.0,67.0,0.09845184196980628,0.0008289424768606682,20,32,,47.278931199980434,0.8271604938271605,0.8271604938271605
