model,split,class,n_parents,spearman,rank_of_pred_best,K,regret,oracle_gain,pred_best_gain,hit@1,mean_true_top1,improving_top1,hit@5,mean_true_top5,improving_top5,hit@10,mean_true_top10,improving_top10,hit@50,mean_true_top50,improving_top50,improving_random,mean_true_random
"Transformer, MSE",unseen instance (target),random,40,0.0024540265087591865,576.075,1152.0,0.2524296211078763,0.2487242255359888,-0.0037053967331303283,0.05,-0.0037053967331303283,0.425,0.05,-0.01037793350405991,0.44000000000000006,0.05,-0.009852045748266392,0.4525,0.075,-0.00892404863043339,0.45099999999999996,0.4541666666666667,-0.010884881305537419
"Transformer, MSE",unseen instance (target),all,160,0.07554869740460897,472.025,1152.0,0.2571799481287599,0.172273421905993,-0.08490652654581936,0.0125,-0.08490652654581936,0.19375,0.0125,-0.09767327827285044,0.20375000000000001,0.01875,-0.10430898717067975,0.20875,0.05,-0.11151031677527498,0.20675,0.193701171875,-0.13828735819715804
"Transformer, listwise",held-out parents (source),elite,7,0.10195103411970062,56.42857142857143,1152.0,0.053879872918644524,0.01068715502125477,-0.043192719892041556,0.14285714285714285,-0.043192719892041556,0.14285714285714285,0.14285714285714285,-0.009956598501828142,0.19999999999999998,0.5714285714285714,-0.02181782126100578,0.11428571428571428,0.5714285714285714,-0.1934323055403573,0.037142857142857144,0.00285218253968254,-0.30380045090402874
"Transformer, listwise",held-out parents (source),mid,17,0.06280717484694338,300.4117647058824,1152.0,0.24604081932236166,0.2732855572420008,0.02724473644561573,0.058823529411764705,0.02724473644561573,0.5882352941176471,0.058823529411764705,0.01210589480915052,0.4,0.058823529411764705,0.004597726076848202,0.3235294117647059,0.11764705882352941,-0.019816718382678705,0.3529411764705882,0.30315563725490197,-0.05044197061044328
"Transformer, listwise",held-out parents (source),random,8,-0.006932159696367087,477.5,1152.0,0.2244577743113041,0.2723873481154442,0.047929572872817516,0.0,0.047929572872817516,0.75,0.125,0.020926835830323398,0.525,0.125,0.01430081739090383,0.48750000000000004,0.125,0.0091055998345837,0.5025000000000001,0.5631510416666667,0.016028142534196377
"Transformer, listwise",held-out parents (source),all,32,0.05393506042703142,291.3125,1152.0,0.19860985104378415,0.21561760447457345,0.017007751978553646,0.0625,0.017007751978553646,0.53125,0.09375,0.009484959652667158,0.3875,0.1875,0.0012450979252065508,0.31875,0.21875,-0.0505645485191053,0.32125000000000004,0.3024631076388889,-0.08924660988850519
"Transformer, listwise",unseen instance (target),elite,60,0.056365582631831036,585.8166666666667,1152.0,0.2926859435935815,0.007762765670971324,-0.28492317770918213,0.0,-0.28492317770918213,0.0,0.0,-0.3130406302710374,0.0033333333333333335,0.0,-0.2634729191660881,0.0016666666666666668,0.0,-0.2669194574157397,0.010333333333333335,0.006380208333333332,-0.2804687331120173
"Transformer, listwise",unseen instance (target),mid,60,0.016215567155247954,773.9666666666667,1152.0,0.42717566167314847,0.2858168757210175,-0.14135878580079103,0.0,-0.14135878580079103,0.08333333333333333,0.0,-0.09978023874573409,0.16999999999999998,0.0,-0.07864088118076325,0.21499999999999994,0.0,-0.08242620186259349,0.21033333333333337,0.20737847222222222,-0.08104096787671249
"Transformer, listwise",unseen instance (target),random,40,-0.0020006286141296104,580.2,1152.0,0.26254692301154137,0.2487242255359888,-0.013822698380681685,0.0,-0.013822698380681685,0.4,0.0,-0.011878849612548948,0.45,0.0,-0.01005021112068789,0.43499999999999994,0.0,-0.010165133082773536,0.4415,0.4541666666666667,-0.010884881305537419
"Transformer, listwise",unseen instance (target),all,160,0.02671777401662222,654.96875,1152.0,0.33558483272790907,0.172273421905993,-0.16331141091141035,0.0,-0.16331141091141035,0.13125,0.0,-0.15777753828442656,0.1775,0.0,-0.13080522791024124,0.19,0.0,-0.13354590550006834,0.193125,0.193701171875,-0.13828735819715804
"Transformer, MSE + Δc head",held-out parents (source),elite,7,0.8772878674283334,59.142857142857146,1152.0,0.05762958495844422,0.01068715502125477,-0.046942430681415966,0.0,-0.046942430681415966,0.0,0.0,-0.0492853330714362,0.0,0.2857142857142857,-0.06527484048690115,0.0,0.5714285714285714,-0.07831319900495666,0.017142857142857144,0.00285218253968254,-0.30380045090402874
"Transformer, MSE + Δc head",held-out parents (source),mid,17,0.4363725363323376,352.8235294117647,1152.0,0.2658448263126261,0.2732855572420008,0.007440732542069293,0.0,0.007440732542069293,0.4117647058823529,0.058823529411764705,0.008849468027405879,0.48235294117647054,0.058823529411764705,0.006581027053899187,0.44705882352941173,0.058823529411764705,0.0037782169345197923,0.47058823529411764,0.30315563725490197,-0.05044197061044328
"Transformer, MSE + Δc head",held-out parents (source),random,8,-0.004728980765955775,580.25,1152.0,0.2540158424526453,0.2723873481154442,0.01837150804931298,0.0,0.01837150804931298,0.375,0.0,0.021371029297370114,0.575,0.0,0.008647557464428246,0.44999999999999996,0.0,0.013398827315540984,0.535,0.5631510416666667,0.016028142534196377
"Transformer, MSE + Δc head",held-out parents (source),all,32,0.4225473857350133,345.4375,1152.0,0.21734049630140362,0.21561760447457345,-0.0017228905362571857,0.0,-0.0017228905362571857,0.3125,0.03125,-0.0007371293954747671,0.4,0.09375,-0.008620811368018622,0.35,0.15625,-0.011774127706985382,0.3875,0.3024631076388889,-0.08924660988850519
"Transformer, MSE + Δc head",unseen instance (target),elite,60,0.39989253732536606,172.78333333333333,1152.0,0.0789838314948914,0.007762765670971324,-0.07122106611107787,0.03333333333333333,-0.07122106611107787,0.03333333333333333,0.03333333333333333,-0.09710737379888694,0.02666666666666667,0.05,-0.08536432615170876,0.02333333333333333,0.11666666666666667,-0.1255801262954871,0.021000000000000005,0.006380208333333332,-0.2804687331120173
"Transformer, MSE + Δc head",unseen instance (target),mid,60,0.23428716776266834,336.23333333333335,1152.0,0.2982927133018772,0.2858168757210175,-0.012475837961149708,0.0,-0.012475837961149708,0.4,0.0,-0.02190093261403187,0.3733333333333333,0.0,-0.01779248824265475,0.3616666666666667,0.1,-0.03115444912497575,0.32999999999999996,0.20737847222222222,-0.08104096787671249
"Transformer, MSE + Δc head",unseen instance (target),random,40,0.023162231361673245,522.125,1152.0,0.24659157693386077,0.2487242255359888,0.002132649779377971,0.0,0.002132649779377971,0.475,0.0,-0.005601693681092002,0.41500000000000004,0.0,-0.007129101306782104,0.4175,0.025,-0.0076396789598220495,0.4305,0.4541666666666667,-0.010884881305537419
"Transformer, MSE + Δc head",unseen instance (target),all,160,0.2436079472484312,321.4125,1152.0,0.2031265985322534,0.172273421905993,-0.03085317658224085,0.0125,-0.03085317658224085,0.28125,0.0125,-0.04602853832511755,0.25375000000000003,0.01875,-0.04046608072458184,0.24874999999999997,0.0875,-0.06068538552262907,0.23925000000000002,0.193701171875,-0.13828735819715804
