family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,858,13,reg3_m858_s0,0,405,20260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,509.88486610000837,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,410,20510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,516.3007773999998,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,415,20760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,522.4789601000084,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,420,21010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,528.6650325999944,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,425,21260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,534.961964999995,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,430,21510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,541.2142950999842,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,435,21760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,547.7253671000071,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,440,22010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,554.0970207999926,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,445,22260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,560.8368424999935,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,450,22510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,567.2887707999907,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,455,22760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,573.4418082000047,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,460,23010,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,579.7318304000073,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,465,23260,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,586.1741503000085,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,470,23510,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,592.5260737999924,0.6514767932489451,0.6514767932489451
reg3,858,13,reg3_m858_s0,0,475,23760,0.9112149464937843,772.0,772.0,0.014049144003216506,1.4992483166401116e-19,48,75,598.9667914999882,0.6514767932489451,0.6514767932489451
