family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,60,6,reg3_m60_s0,0,225,11260,1.2806110567179825,72.0,72.0,0.050055821700905084,0.0005863398137562099,20,37,48.2580513000139,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,230,11510,1.2806110567179825,72.0,72.0,0.050055821700905084,0.0005863398137562099,20,37,49.32445780001581,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,235,11760,1.2806110567179825,72.0,72.0,0.050055821700905084,0.0005863398137562099,20,37,50.40294780000113,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,240,12010,1.2806110567179825,72.0,72.0,0.050055821700905084,0.0005863398137562099,20,37,51.50324560000445,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,245,12260,1.2806110567179825,72.0,72.0,0.050055821700905084,0.0005863398137562099,20,37,52.55785569999716,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,250,12510,1.2830044597101486,72.0,72.0,0.05732742807025602,0.0012270811848911767,20,37,53.634863700019196,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,255,12760,1.2830044597101486,72.0,72.0,0.05732742807025602,0.0012270811848911767,20,37,54.74139599999762,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,260,13010,1.2830044597101486,72.0,72.0,0.05732742807025616,0.0012270811848911177,20,37,55.86851250001928,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,265,13260,1.2830044597101486,72.0,72.0,0.05732742807025602,0.0012270811848911767,20,37,56.95651600000565,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,270,13510,1.2830044597101486,72.0,72.0,0.05732742807025616,0.0012270811848911177,20,37,58.04991910001263,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,275,13760,1.2830044597101486,72.0,72.0,0.05732742807025616,0.0012270811848911177,20,37,59.170309700013604,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,280,14010,1.2830044597101486,72.0,72.0,0.05732742807025602,0.0012270811848911767,20,37,60.23410450000665,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,285,14260,1.2830044597101486,72.0,72.0,0.05732742807025602,0.0012270811848911767,20,37,61.238107300014235,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,290,14510,1.2830044597101486,72.0,72.0,0.05732742807025616,0.0012270811848911177,20,37,62.3151002000086,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,295,14760,1.2830044597101486,72.0,72.0,0.05732742807025616,0.0012270811848911177,20,37,63.417611600016244,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,300,15010,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,64.48158260001219,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,305,15260,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,65.50292630001786,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,310,15510,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,66.59114820000832,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,315,15760,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,67.6855298000155,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,320,16010,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,68.71382740000263,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,325,16260,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,69.76980320000439,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,330,16510,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,70.96540400001686,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,335,16760,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,72.04648930000258,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,340,17010,1.2833544709320046,72.0,72.0,0.05145733456292095,0.000824934767092474,20,37,73.14520020000055,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,345,17260,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,74.16279980001855,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,350,17510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,75.19609219999984,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,355,17760,1.2833544709320046,72.0,72.0,0.05145733456292078,0.0008249347670924723,20,37,76.25894050000352,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,360,18010,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,77.2822712000052,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,365,18260,1.2833544709320046,72.0,72.0,0.051457334562920995,0.0008249347670924966,20,37,78.32405200001085,0.8674698795180723,0.8674698795180723
reg3,60,6,reg3_m60_s0,0,370,18510,1.2833544709320046,72.0,72.0,0.05145733456292091,0.0008249347670925174,20,36,79.42077369999606,0.8674698795180723,0.8674698795180723
