family,m,instance,method,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,60,reg3_m60_s1,es+pretrained,0,200,10010,1.294521846548725,72.0,72.0,0.0759239941850966,6.907793908009869e-06,20,39,0.006348941009491682,215.12721139995847,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,205,10260,1.294521846548725,72.0,72.0,0.0759239941850966,6.90779390796867e-06,20,38,0.0068808021023869514,221.42176559998188,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,210,10510,1.294521846548725,72.0,72.0,0.0759239941850966,6.907793908009869e-06,20,39,0.00785166397690773,227.76447120000375,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,215,10760,1.294521846548725,72.0,72.0,0.0759239941850966,6.90779390796867e-06,20,38,0.005713807884603739,231.35290289996192,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,220,11010,1.294521846548725,72.0,72.0,0.07592399418509652,6.907793907980054e-06,20,37,0.007228571455925703,237.67669799999567,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,225,11260,1.294521846548725,72.0,72.0,0.07592399418509653,6.907793908090534e-06,20,38,0.0048268623650074005,243.82267229998251,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,230,11510,1.294521846548725,72.0,72.0,0.0759239941850966,6.90779390796867e-06,20,38,0.005022626370191574,247.27053079998586,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,235,11760,1.294521846548725,72.0,72.0,0.0759239941850966,6.90779390796867e-06,20,38,0.005882556084543467,253.31508769997163,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,240,12010,1.294521846548725,72.0,72.0,0.0759239941850966,6.9077939079627065e-06,20,39,0.004855385050177574,259.18007829994895,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,245,12260,1.294521846548725,72.0,72.0,0.0759239941850966,6.907793908009869e-06,20,39,0.004633560311049223,262.59762590000173,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,250,12510,1.294521846548725,72.0,72.0,0.0759239941850966,6.90779390796867e-06,20,38,0.004979335702955723,268.4445252000005,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,255,12760,1.2951172656099486,72.0,72.0,0.07517347111983877,0.005173084949375153,20,38,0.00546408724039793,274.3280719000031,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,260,13010,1.299104462290363,72.0,72.0,0.07650404865577518,0.0017274073463398477,20,38,0.005301906261593103,277.82271899998887,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,265,13260,1.299104462290363,72.0,72.0,0.07650404865577518,0.0017274073463398477,20,38,0.004618408624082804,283.6179812999908,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,270,13510,1.3095531986783684,72.0,72.0,0.08273675956695739,0.0024214896179474282,20,38,0.004503094125539064,289.42281119996915,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,275,13760,1.3095531986783684,72.0,72.0,0.08273675956695739,0.0024214896179474282,20,38,0.005896349437534809,292.7978770000045,0.8888888888888888,0.8888888888888888
reg3,60,reg3_m60_s1,es+pretrained,0,280,14010,1.3095531986783684,72.0,72.1,0.08273675956695739,0.0024214896179474282,20,38,0.0036199591122567654,298.62009779998334,0.8888888888888888,0.8901234567901234
