family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4660,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4710,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4760,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4810,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4860,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4910,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4960,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5010,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5060,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5110,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5160,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5210,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5260,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5310,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5360,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5410,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5460,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5510,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5560,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5610,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5660,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5710,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5760,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5810,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5860,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5910,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,5960,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6010,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6060,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6110,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6160,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6210,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6260,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6310,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6360,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6410,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6460,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6510,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6560,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6610,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6660,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6710,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6760,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6810,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6860,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6910,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,6960,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7010,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7060,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7110,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7160,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7210,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7260,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7310,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7360,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7410,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7460,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7510,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7560,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7610,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7660,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7710,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7760,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7810,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7860,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7910,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,7960,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8010,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8060,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8110,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8160,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8210,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8260,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8310,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8360,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8410,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8460,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8510,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8560,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8610,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8660,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8710,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8760,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8810,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8860,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8910,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,8960,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9010,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9060,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9110,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9160,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9210,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9260,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9310,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9360,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9410,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9460,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9510,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9560,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9610,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9660,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9710,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9760,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9810,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9860,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9910,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,9960,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10010,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10060,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10110,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10160,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10210,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10260,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10310,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10360,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10410,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10460,0.6497890295358649
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10510,0.6497890295358649
