family,m,n,instance,best_known,method,run,evaluations,ratio_raw,ratio_ls,ratio_1000shots,ratio_4000shots,median_abs_corr,two_qubit,non_clifford,depth,seconds
er4,60,6,er4_m60_s1,100.0,random,0,20000,0.81,0.93,0.652,0.7375,0.0226952815294296,,,,
er4,60,6,er4_m60_s1,100.0,genpce_es,1,20010,0.93,0.94,0.8440000000000001,0.8885,0.1228306859983174,20.0,37.0,16.0,87.17240449998644
er4,60,6,er4_m60_s1,100.0,random,1,20000,0.81,0.9,0.7134999999999999,0.7334999999999999,0.0646738226532821,,,,
er4,60,6,er4_m60_s1,100.0,pce_vqa_L4,0,113796,0.93,0.97,0.9215,0.9255,0.1591446678160654,10.0,54.0,1044.0,
er4,60,6,er4_m60_s1,100.0,pce_vqa_L4,1,141591,0.89,0.95,0.892,0.894,0.2211668873857399,10.0,54.0,1299.0,
er4,60,6,er4_m60_s1,100.0,pce_vqa_L8,0,434000,0.99,0.99,0.99,0.99,0.2433083124735954,20.0,108.0,2000.0,
er4,60,6,er4_m60_s1,100.0,pce_vqa_L8,1,425103,0.95,0.96,0.95,0.95,0.2517034312557683,20.0,108.0,1959.0,
er4,252,9,er4_m252_s0,428.0,genpce_es,0,20010,0.7593457943925234,0.9065420560747663,0.6475467289719625,0.6705607476635514,0.0203628196729514,32.0,56.0,16.0,143.15203669999028
er4,252,9,er4_m252_s0,428.0,random,0,20000,0.6845794392523364,0.8761682242990654,0.631658878504673,0.6389018691588785,0.0287445001584582,,,,
er4,252,9,er4_m252_s0,428.0,genpce_es,1,20010,0.7757009345794392,0.8785046728971962,0.6657710280373832,0.6954439252336448,0.0359717920458857,32.0,50.0,16.0,148.0489349999989
er4,252,9,er4_m252_s0,428.0,random,1,20000,0.6962616822429907,0.8691588785046729,0.5968457943925234,0.6217289719626169,0.018682760277575,,,,
er4,252,9,er4_m252_s0,428.0,pce_vqa_L4,0,162071,0.8200934579439252,0.9252336448598132,0.8070093457943924,0.8203271028037383,0.1087414787608395,16.0,84.0,959.0,
er4,252,9,er4_m252_s0,428.0,pce_vqa_L4,1,335127,0.7920560747663551,0.8901869158878505,0.781658878504673,0.7880841121495328,0.1346158120041114,16.0,84.0,1983.0,
er4,252,9,er4_m252_s0,428.0,pce_vqa_L8,0,586380,0.883177570093458,0.9228971962616822,0.8739485981308411,0.8810747663551403,0.1166738348831558,32.0,168.0,1740.0,
er4,252,9,er4_m252_s0,428.0,pce_vqa_L8,1,674000,0.8878504672897196,0.9299065420560748,0.872429906542056,0.882359813084112,0.1256782728801572,32.0,168.0,2000.0,
er4,252,9,er4_m252_s1,426.0,genpce_es,0,20010,0.7394366197183099,0.8896713615023474,0.6208920187793427,0.6454225352112676,0.0230572816360961,32.0,50.0,16.0,141.94413109999732
er4,252,9,er4_m252_s1,426.0,random,0,20000,0.6948356807511737,0.9061032863849764,0.6059859154929577,0.6372065727699531,0.0351466487457001,,,,
er4,252,9,er4_m252_s1,426.0,genpce_es,1,20010,0.7582159624413145,0.8708920187793427,0.640962441314554,0.6576291079812207,0.0261046366167415,32.0,49.0,16.0,146.92688349998207
er4,252,9,er4_m252_s1,426.0,random,1,20000,0.7276995305164319,0.8826291079812206,0.639906103286385,0.664906103286385,0.0252719999552816,,,,
er4,252,9,er4_m252_s1,426.0,pce_vqa_L4,0,338000,0.8051643192488263,0.9014084507042254,0.7915492957746478,0.7950704225352112,0.1315569836767948,16.0,84.0,2000.0,
er4,252,9,er4_m252_s1,426.0,pce_vqa_L4,1,338000,0.7652582159624414,0.908450704225352,0.7690140845070423,0.7666666666666667,0.1394073385181764,16.0,84.0,2000.0,
er4,252,9,er4_m252_s1,426.0,pce_vqa_L8,0,674000,0.8896713615023474,0.9295774647887324,0.8774647887323944,0.886150234741784,0.1278747798900197,32.0,168.0,2000.0,
er4,252,9,er4_m252_s1,426.0,pce_vqa_L8,1,576270,0.8427230046948356,0.9225352112676056,0.8456572769953051,0.8473004694835681,0.1156912802189149,32.0,168.0,1710.0,
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,20010,0.6514767932489451,0.8936708860759494,0.560168776371308,0.5684388185654009,0.0140491440032165,48.0,75.0,16.0,522.8886110000021
reg3,858,13,reg3_m858_s0,1185.0,random,0,20000,0.60084388185654,0.8810126582278481,0.5548945147679325,0.5648945147679325,0.0071414430029757,,,,
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,1,20010,0.6649789029535865,0.8793248945147679,0.590042194092827,0.6050210970464135,0.0313668881588177,48.0,79.0,16.0,602.1254488000122
reg3,858,13,reg3_m858_s0,1185.0,random,1,20000,0.6042194092827005,0.8886075949367088,0.5679746835443038,0.5783544303797469,0.0291111996042916,,,,
reg3,858,13,reg3_m858_s0,1185.0,pce_vqa_L4,0,373500,0.6734177215189874,0.8759493670886076,0.6692827004219409,0.669831223628692,0.1071833104680459,24.0,124.0,1500.0,
reg3,858,13,reg3_m858_s0,1185.0,pce_vqa_L8,0,745500,0.7156118143459915,0.8852320675105485,0.7060337552742616,0.7139662447257383,0.1278869739082262,48.0,248.0,1500.0,
reg3,858,13,reg3_m858_s1,1187.0,genpce_es,0,20010,0.6588037068239259,0.8879528222409435,0.5663437236731256,0.5806655433866892,0.0124331142818917,48.0,72.0,16.0,552.3018709000025
reg3,858,13,reg3_m858_s1,1187.0,random,0,20000,0.6048862679022746,0.8711036225779275,0.5526116259477675,0.5654591406908173,0.0149635095783547,,,,
reg3,858,13,reg3_m858_s1,1187.0,genpce_es,1,20010,0.6486941870261163,0.8727885425442291,0.5647851727042965,0.578390901432182,0.015781219578272,48.0,78.0,16.0,566.8470291999984
reg3,858,13,reg3_m858_s1,1187.0,random,1,20000,0.6065711878685762,0.8795282224094355,0.5503791069924179,0.5488205560235889,0.0111468261700212,,,,
reg3,858,13,reg3_m858_s1,1187.0,pce_vqa_L4,0,373500,0.6798652064026959,0.8770008424599831,0.6730412805391743,0.6766217354675653,0.1090993075621291,24.0,124.0,1500.0,
reg3,858,13,reg3_m858_s1,1187.0,pce_vqa_L8,0,535766,0.7278854254422915,0.8946925021061499,0.7105728727885425,0.725821398483572,0.0995857398310386,48.0,248.0,1078.0,
er4,858,13,er4_m858_s0,1469.0,genpce_es,0,20010,0.6936691626957113,0.8781484002722941,0.6070115724982982,0.6144315861130021,0.0159779136050627,48.0,73.0,16.0,539.8501029000035
er4,858,13,er4_m858_s0,1469.0,random,0,20000,0.641933287950987,0.8863172226004085,0.5940435670524166,0.6048332198774676,0.0093550866603538,,,,
er4,858,13,er4_m858_s0,1469.0,genpce_es,1,20010,0.6882232811436352,0.8686181075561606,0.602280462899932,0.6126957113682777,0.0109083214782738,48.0,74.0,16.0,574.2190782999969
er4,858,13,er4_m858_s0,1469.0,random,1,20000,0.6364874063989108,0.8584070796460177,0.603641933287951,0.6126957113682777,0.0298336227483349,,,,
er4,858,13,er4_m858_s0,1469.0,pce_vqa_L4,0,373500,0.6991150442477876,0.8801906058543226,0.6943158611300204,0.6975493533015658,0.1108103509507462,24.0,124.0,1500.0,
er4,858,13,er4_m858_s0,1469.0,pce_vqa_L8,0,745500,0.765146358066712,0.8876786929884275,0.7458475153165419,0.7554458815520763,0.0940818398702186,48.0,248.0,1500.0,
er4,858,13,er4_m858_s1,1464.0,genpce_es,0,20010,0.7049180327868853,0.8702185792349727,0.6045081967213115,0.621448087431694,0.0122181639755421,48.0,76.0,16.0,532.4002110000001
