family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7660,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7710,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7760,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7810,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7860,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7910,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7960,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8010,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8060,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8110,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8160,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8210,0.8554216867469879
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8560,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8710,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8760,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8810,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8860,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8910,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,8960,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9010,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9060,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9110,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9160,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9210,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9560,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9610,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9660,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9710,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9760,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9810,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9860,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9910,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,9960,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10010,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10060,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10110,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10160,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10210,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10260,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10310,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10360,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10410,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10460,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10510,0.8674698795180723
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10560,0.8674698795180723
