instance_id,grid,config,m,optimum,arm,cost,gates,ceiling,vocab_size
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,-11.222413584011,ceil3x_k3,-8.21721436246806,59,59,506
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,ceil3x_ang16,-22.131504351469125,59,59,1010
IEEE-57_v57_core_b4l10_002,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil3x_k3,-25.71883096405123,59,59,506
IEEE-57_v57_core_b4l10_000,IEEE-57,v57_core_b4l10,40,-25.71883096405124,ceil3x_k3,-24.19565398195581,59,59,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil3x_ang16,-7.092923820042806,59,59,1010
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,ceil3x_ref,-24.124578397949804,59,59,506
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil3x_ang16,-8.252681770679956,59,59,1010
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_ref,-28.25288047082668,59,59,506
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,ceil3x_ang16,-9.274977316582069,59,59,1010
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,ceil3x_ang16,-24.124578397949804,59,59,1010
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_ang16,-28.25288047082668,59,59,1010
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_ref,-28.596685521791528,59,59,506
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,-29.3172760507946,ceil3x_k3,-27.74544308784172,59,59,506
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_ang16,-28.596685521791528,59,59,1010
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,ceil3x_split5,-0.4314169239501244,59,59,506
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil3x_split5,-17.93790411528801,59,59,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil3x_split5,-7.092923820042806,59,59,506
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_split5,-28.128842048531776,59,59,506
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil3x_split5,-5.693827835482802,59,59,506
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,ceil3x_split5,-28.089248138806568,59,59,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil6x,-7.092923820042806,119,119,506
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil6x,-17.93790411528801,119,119,506
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,ceil6x,-0.4314169239501244,33,119,506
