instance_id,grid,B,L,m_base,m_extended,qubits_base,qubits_extended,capacity,extra_qubits,gqe_cost,mip_cost,exact_match,mip_ms,mip_status,n_sites,total_mw,total_mwh,n_islanded,islanded_buses,islanded_and_sited,local_served_mw,max_exposure_mw,plan,levels
IEEE-118_v118_core_b4l10_001,IEEE-118,4,10,40,44,6,6,45,0,-16.58326897272979,-16.58326897272979,True,16.461849212646484,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 100.0, 107: 125.0}","[5, 4, 5, 0]"
IEEE-118_v118_core_b4l10_003,IEEE-118,4,10,40,44,6,6,45,0,-16.4956876066991,-16.4956876066991,True,18.34678649902344,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 100.0, 107: 125.0}","[5, 4, 5, 0]"
IEEE-118_v118_core_b4l10_005,IEEE-118,4,10,40,44,6,6,45,0,-6.81198922743806,-7.564074341215127,False,18.60880851745605,optimal,2,200.0,800.0,0,[],0,0.0,0.0,"{106: 75.0, 75: 125.0}","[3, 5, 0, 0]"
IEEE-118_v118_core_b4l10_007,IEEE-118,4,10,40,44,6,6,45,0,-8.370761972544589,-8.370761972544589,True,33.76626968383789,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{106: 100.0, 75: 125.0}","[4, 5, 0, 0]"
IEEE-118_v118_core_b5l9_001,IEEE-118,5,9,45,50,6,7,63,1,-25.425845496312547,-25.425845496312547,True,11.033058166503906,optimal,3,325.0,1300.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 100.0, 42: 100.0}","[5, 4, 0, 0, 4]"
IEEE-118_v118_core_b5l9_003,IEEE-118,5,9,45,50,6,7,63,1,-12.552686611575464,-12.552686611575464,True,8.595466613769531,optimal,3,300.0,1200.0,0,[],0,0.0,0.0,"{106: 100.0, 118: 100.0, 42: 100.0}","[4, 0, 0, 4, 4]"
IEEE-118_v118_core_b5l9_005,IEEE-118,5,9,45,50,6,7,63,1,-21.80149345208788,-21.80149345208788,True,10.925054550170898,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 125.0, 42: 100.0}","[5, 5, 0, 0, 4]"
IEEE-118_v118_core_b5l9_007,IEEE-118,5,9,45,50,6,7,63,1,-24.40590527603284,-24.40590527603284,True,18.345355987548828,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{106: 150.0, 75: 100.0, 42: 100.0}","[6, 4, 0, 0, 4]"
IEEE-14_core_b4l10_001,IEEE-14,4,10,40,44,6,6,45,0,-0.8014169239501245,-0.8014169239501245,True,17.038345336914062,optimal,1,50.0,200.0,1,[14],1,15.442154764100769,0.0232713033737244,{14: 50.0},"[0, 0, 0, 2]"
IEEE-14_core_b4l10_003,IEEE-14,4,10,40,44,6,6,45,0,-11.744218639965348,-12.49464659130162,False,31.629085540771484,optimal,2,300.0,1200.0,0,[],0,0.0,0.1479903612448218,"{10: 150.0, 4: 150.0}","[0, 6, 6, 0]"
