instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,4,10,102,-0.4314169239501244,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,True,True,True,True,True,True,-5.551115123125783e-17,-5.551115123125783e-17,19
IEEE-118_v118_core_b4l10_003,IEEE-118,v118_core_b4l10,40,4,10,101,-16.495687606699125,-16.495687606699185,-16.495687606699185,-16.048881830516553,-13.676428528407264,-13.676428528407264,-16.495687606699185,True,True,False,False,False,True,-6.039613253960852e-14,-6.039613253960852e-14,19
IEEE-118_v118_core_b4l10_003,IEEE-118,v118_core_b4l10,40,4,10,102,-16.495687606699125,-16.495687606699185,-16.495687606699185,-16.048881830516553,-13.676428528407264,-13.676428528407264,-16.495687606699185,True,True,False,False,False,True,-6.039613253960852e-14,-6.039613253960852e-14,19
IEEE-30_v30_core_b4l10_003,IEEE-30,v30_core_b4l10,40,4,10,101,-9.529155777470962,-7.04729407825108,-9.529155777470965,-9.213061990675154,3.1706021523817576,3.1706021523817576,-9.213061990675154,False,True,False,False,False,False,2.4818616992198814,0.3160937867958076,19
IEEE-30_v30_core_b4l10_003,IEEE-30,v30_core_b4l10,40,4,10,102,-9.529155777470962,-9.213061990675154,-9.529155777470965,-9.213061990675154,3.1706021523817576,3.1706021523817576,-9.213061990675154,False,True,False,False,False,False,0.3160937867958076,0.3160937867958076,19
IEEE-30_v30_core_b5l9_004,IEEE-30,v30_core_b5l9,45,5,9,101,-8.617337181390432,-5.4520204370345695,-8.252681770679958,-8.215370883165521,18.41231566894999,18.41231566894999,-5.4520204370345695,False,False,False,False,False,False,3.165316744355863,3.165316744355863,19
IEEE-30_v30_core_b5l9_004,IEEE-30,v30_core_b5l9,45,5,9,102,-8.617337181390432,3.9165347953262994,-8.252681770679958,-8.215370883165521,18.41231566894999,18.41231566894999,-5.4520204370345695,False,False,False,False,False,False,12.533871976716732,3.165316744355863,19
IEEE-118_v118_core_b5l9_008,IEEE-118,v118_core_b5l9,45,5,9,101,-22.1372105901275,-19.759031452223994,-22.13721059012762,-22.13721059012762,-14.566896004029172,-14.759240294787897,-22.13721059012762,False,True,True,False,False,True,2.378179137903505,-1.2079226507921703e-13,19
IEEE-118_v118_core_b5l9_008,IEEE-118,v118_core_b5l9,45,5,9,102,-22.1372105901275,-19.759031452223994,-22.13721059012762,-22.13721059012762,-14.566896004029172,-14.759240294787897,-22.13721059012762,False,True,True,False,False,True,2.378179137903505,-1.2079226507921703e-13,19
IEEE-30_v30_core_b4l10_007,IEEE-30,v30_core_b4l10,40,4,10,101,-9.529155777470962,-5.797623406538703,-9.529155777470965,-9.529155777470965,3.1706021523817576,3.1706021523817576,-9.529155777470965,False,True,True,False,False,True,3.7315323709322588,-3.552713678800501e-15,19
