instance_id,grid,config,m,optimum,ceil3x_cost,ceil3x_cost_raw,ceil3x_gates,ceil3x_max_gates
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,-30.91120463914064,-30.91120463914064,59,59
IEEE-14_core_b4l10_008,IEEE-14,core_b4l10,40,0.0,0.0,0.0,59,59
IEEE-118_v118_core_b4l10_003,IEEE-118,v118_core_b4l10,40,-16.495687606699125,-16.495687606699185,-16.495687606699185,59,59
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,-16.30306280167281,-16.30306280167281,59,59
IEEE-14_core_b4l10_005,IEEE-14,core_b4l10,40,-11.986552133566274,-11.986552133566251,-11.986552133566251,59,59
IEEE-14_core_b4l10_006,IEEE-14,core_b4l10,40,-30.078242069632097,-27.921591812326252,-27.921591812326252,59,59
IEEE-118_v118_core_b4l10_006,IEEE-118,v118_core_b4l10,40,-7.706053636582729,-7.706053636583009,-7.706053636583009,57,59
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,-33.2688007640227,-33.2688007640227,59,59
IEEE-14_core_b4l10_007,IEEE-14,core_b4l10,40,0.0,0.0,0.0,59,59
IEEE-14_core_b4l10_009,IEEE-14,core_b4l10,40,-12.465723994296532,-12.465723994296468,-12.465723994296468,59,59
IEEE-118_v118_core_b4l10_008,IEEE-118,v118_core_b4l10,40,-8.186007850981582,-6.5589519447443365,-6.5589519447443365,59,59
IEEE-118_v118_core_b5l9_003,IEEE-118,v118_core_b5l9,45,-12.552686611575504,-12.552686611575526,-12.552686611575526,59,59
IEEE-118_v118_core_b5l9_007,IEEE-118,v118_core_b5l9,45,-24.40590527603249,-24.405905276030133,-24.405905276030133,59,59
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,-22.131504351469125,-22.131504351469125,59,59
IEEE-118_v118_core_b5l9_005,IEEE-118,v118_core_b5l9,45,-21.80149345208792,-21.80149345208799,-21.80149345208799,59,59
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,-5.693827835482802,-5.693827835482802,59,59
IEEE-30_v30_core_b4l10_006,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-9.213061990675154,-9.213061990675154,59,59
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,-7.092923820042806,-7.092923820042806,59,59
IEEE-30_v30_core_b4l10_009,IEEE-30,v30_core_b4l10,40,-7.0929238200428,-6.792676726801231,-6.792676726801231,59,59
IEEE-118_v118_core_b5l9_008,IEEE-118,v118_core_b5l9,45,-22.1372105901275,-22.13721059012762,-22.13721059012762,59,59
IEEE-30_v30_core_b4l10_004,IEEE-30,v30_core_b4l10,40,-8.371691025489064,-8.371691025489067,-8.371691025489067,59,59
IEEE-118_v118_core_b5l9_009,IEEE-118,v118_core_b5l9,45,-19.722504286961737,-19.722504286961748,-19.722504286961748,59,59
IEEE-30_v30_core_b4l10_007,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-9.213061990675154,-9.213061990675154,59,59
IEEE-30_v30_core_b4l10_000,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-9.213061990675154,-9.213061990675154,59,59
IEEE-30_v30_core_b5l9_005,IEEE-30,v30_core_b5l9,45,0.0,0.0,0.0,59,59
IEEE-118_v118_core_b5l9_006,IEEE-118,v118_core_b5l9,45,-16.774253425002254,-16.774253425002495,-16.774253425002495,59,59
IEEE-57_v57_core_b4l10_001,IEEE-57,v57_core_b4l10,40,-24.124578397949808,-24.124578397949804,-24.124578397949804,59,59
IEEE-118_v118_core_b5l9_004,IEEE-118,v118_core_b5l9,45,-22.67798423411653,-22.67798423411464,-22.67798423411464,59,59
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-7.5181120042008995,-7.5181120042008995,59,59
IEEE-30_v30_core_b4l10_005,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-9.213061990675154,-9.213061990675154,59,59
IEEE-30_v30_core_b4l10_008,IEEE-30,v30_core_b4l10,40,0.0,0.0,0.0,59,59
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,-9.274977316582069,-9.274977316582069,59,59
IEEE-30_v30_core_b5l9_006,IEEE-30,v30_core_b5l9,45,-9.274977316582069,-9.274977316582069,-9.274977316582069,59,59
IEEE-30_v30_core_b5l9_007,IEEE-30,v30_core_b5l9,45,-8.617337181390432,-7.84303314122219,-7.84303314122219,59,59
IEEE-57_v57_core_b4l10_000,IEEE-57,v57_core_b4l10,40,-25.71883096405124,-24.460294909991532,-24.460294909991532,59,59
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,-11.222413584011,-8.499960377029712,-8.499960377029712,59,59
IEEE-30_v30_core_b5l9_003,IEEE-30,v30_core_b5l9,45,-11.04662870997317,-8.423012577699716,-8.423012577699716,59,59
IEEE-30_v30_core_b4l10_003,IEEE-30,v30_core_b4l10,40,-9.529155777470962,-9.213061990675154,-9.213061990675154,58,59
IEEE-57_v57_core_b4l10_002,IEEE-57,v57_core_b4l10,40,-25.71883096405124,-24.460294909991532,-24.460294909991532,59,59
IEEE-30_v30_core_b5l9_009,IEEE-30,v30_core_b5l9,45,-11.222413584011,-8.21721436246806,-8.21721436246806,59,59
IEEE-30_v30_core_b5l9_004,IEEE-30,v30_core_b5l9,45,-8.617337181390432,-5.4520204370345695,-5.4520204370345695,59,59
IEEE-30_v30_core_b5l9_008,IEEE-30,v30_core_b5l9,45,-9.274977316582069,-9.274977316582069,-9.274977316582069,59,59
IEEE-57_v57_core_b4l10_003,IEEE-57,v57_core_b4l10,40,-25.71883096405124,-25.71883096405123,-25.71883096405123,59,59
IEEE-57_v57_core_b4l10_006,IEEE-57,v57_core_b4l10,40,-25.947198022059855,-24.195653981955815,-24.195653981955815,59,59
IEEE-57_v57_core_b4l10_008,IEEE-57,v57_core_b4l10,40,-26.29807791583346,-26.298077915833453,-26.298077915833453,59,59
IEEE-57_v57_core_b4l10_007,IEEE-57,v57_core_b4l10,40,-23.538573646072223,-22.735573693187952,-22.735573693187952,59,59
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,-29.36817484116324,-28.252880470826682,-28.252880470826682,59,59
IEEE-57_v57_core_b4l10_005,IEEE-57,v57_core_b4l10,40,-24.873213938801893,-20.996100486929294,-20.996100486929294,59,59
IEEE-57_v57_core_b5l9_009,IEEE-57,v57_core_b5l9,45,-28.46603361684479,-28.466033616844776,-28.466033616844776,59,59
IEEE-57_v57_core_b5l9_004,IEEE-57,v57_core_b5l9,45,-29.36817484116324,-28.596685521791528,-28.596685521791528,59,59
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,-29.3172760507946,-27.74544308784172,-27.74544308784172,59,59
IEEE-57_v57_core_b4l10_009,IEEE-57,v57_core_b4l10,40,-25.101580996810515,-21.46361176923415,-21.46361176923415,59,59
IEEE-57_v57_core_b4l10_004,IEEE-57,v57_core_b4l10,40,-23.538573646072223,-23.462122870522627,-23.462122870522627,59,59
IEEE-57_v57_core_b5l9_002,IEEE-57,v57_core_b5l9,45,-29.36817484116324,-28.596685521791528,-28.596685521791528,59,59
IEEE-57_v57_core_b5l9_005,IEEE-57,v57_core_b5l9,45,-27.447085085682865,-27.447085085682858,-27.447085085682858,59,59
IEEE-57_v57_core_b5l9_007,IEEE-57,v57_core_b5l9,45,-29.36817484116324,-27.76702186164114,-27.76702186164114,59,59
IEEE-57_v57_core_b5l9_003,IEEE-57,v57_core_b5l9,45,-29.3172760507946,-27.25958447865618,-27.25958447865618,59,59
IEEE-57_v57_core_b5l9_008,IEEE-57,v57_core_b5l9,45,-26.56478450035515,-26.564784500355138,-26.564784500355138,59,59
IEEE-57_v57_core_b5l9_006,IEEE-57,v57_core_b5l9,45,-28.46603361684479,-28.466033616844776,-28.466033616844776,59,59
