target,family,method,run,ratio_raw,ratio_ls,median_abs_corr,rescore_best,hit_0.8,hit_0.85,hit_0.9,prior_mean,prior_max,prior_median_abs_corr,random_mean,random_max,random_median_abs_corr
er4_m60_s7,er4,prior_init,0,0.9090909090909091,0.9292929292929293,0.11286607504021737,0.8383838383838383,510.0,1010.0,2860.0,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,prior_prop,0,0.8282828282828283,0.8787878787878788,0.12621159525852566,0.8383838383838383,1210.0,,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,db_rescore,0,0.8585858585858586,0.8787878787878788,0.08150845581448576,0.8383838383838383,10.0,1060.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,cold,1,0.8787878787878788,0.9191919191919192,0.06914978738871348,0.8383838383838383,760.0,1860.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,prior_init,1,0.8787878787878788,0.9090909090909091,0.10729097016652914,0.8383838383838383,610.0,3110.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,prior_prop,1,0.8888888888888888,0.9090909090909091,0.12128561842358317,0.8383838383838383,1460.0,3360.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s7,er4,db_rescore,1,0.8888888888888888,0.9292929292929293,0.08675139135862961,0.8383838383838383,10.0,1560.0,,0.6029494949494949,0.7777777777777778,0.05452283988269606,0.6033737373737373,0.797979797979798,0.05284690864320357
er4_m60_s8,er4,cold,0,0.85,0.91,0.06347084032622746,0.83,260.0,3510.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,prior_init,0,0.88,0.94,0.10712891415073877,0.83,1360.0,3560.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,prior_prop,0,0.87,0.89,0.1319402049254797,0.83,560.0,6660.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,db_rescore,0,0.88,0.96,0.052420180782215664,0.83,10.0,110.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,cold,1,0.88,0.95,0.08229392039888322,0.83,610.0,1860.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,prior_init,1,0.93,0.96,0.09606937027690615,0.83,260.0,1310.0,7460.0,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,prior_prop,1,0.88,0.98,0.09596090216130904,0.83,160.0,410.0,,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
er4_m60_s8,er4,db_rescore,1,0.91,0.98,0.08553576079414821,0.83,10.0,160.0,12710.0,0.5992799999999999,0.77,0.05452283988269606,0.605,0.77,0.05046271074803445
